,20
ROL,0.92
GE,0.84
COC,0.69
RQ,1.18
VAA,0.87
CPI,57.0
FOP,0.961
JI,0.963
IUI,88.9
CFI,41.1
PR,72.0
DI,7.24
EDBS,80.340842589114
DBP,4.0
DBD,5.5
SSB,94.137988719694
DWCP,73.514454487678
PMSI,68.0
PT,89.188134999936
EC,73.507225531235
ELFE,7.2
