,13
ROL,1.64
GE,1.51
COC,1.8
RQ,1.54
VAA,1.41
CPI,78.0
FOP,0.983
JI,0.952
IUI,84.2
PR,90.0
DI,8.31
SOARS,5.54
TOGP,4.98
PTIP,4.39
QOES,5.14
AOLT,6.29
FLTA,5.77
EBOF,5.67
FOWD,3.34
QOMS,5.1
CLER,5.2
WTDA,4.9
DBP,9.0
DBD,17.5
SSB,80.918823564482
DWCP,82.870361263795
PMSI,50.0
PT,76.74019251253887
EC,76.735164764241
