,From,To,Weight
21,SSB,EBSG,2.5679889829181413
26,CPI,EIAP,2.008391251567583
27,CPI,PGP,2.0001315743448673
10,EIS,LFG,1.9824865533900629
34,EUPC,VABI,1.9244956293054376
6,EBSG,GDPCG,1.7742481534334842
13,LBGD,EIAP,1.770139099551854
17,EPFRG,VABI,1.760424303047271
7,GDPC,FDI,1.6857403342101835
4,GGFC,EPFRG,1.6549282972669053
18,GGAG,EII,1.4996885569756015
29,CPI,EII,1.495684003611112
28,CPI,GDPCG,1.4503121419498122
5,EII,EUPC,1.3495467307718416
11,EIS,EPFRG,1.2051190457819967
31,CPI,LTU,1.1312499210582359
16,FEM,EMP,0.9999937041802255
12,EIS,EUPC,0.9998006277259756
24,COC,GGFC,0.9995935554434799
2,PGP,GDPC,0.9965081723167545
32,CPI,FEM,0.9651670409748703
15,EMP,GGAG,0.9548602979915203
1,EIAP,LTU,0.8595744414515901
35,EUPC,EBSG,0.8567380581369292
0,FDI,SSB,0.842247765591402
30,CPI,EIS,0.8386818042168784
19,SSB,GGFC,0.8292785345339753
23,SSB,EPFRG,-0.8212881847746175
14,EMP,EII,-0.8317616761051587
22,SSB,LFG,-0.9822652669669404
8,EIS,GGFC,-1.000440826891392
20,SSB,GDPCG,-1.1774856214531677
3,GGFC,VABI,-1.3009020800664508
33,CPI,DI,-1.5925580041561163
36,EUPC,EPFRG,-2.012675417460671
9,EIS,EBSG,-2.0663527903597605
25,CPI,FDI,-2.9966451616854437
